"","x"
"1",1e+05
"2",97957.83
"3",97826.26
"4",97706.55
"5",97596.74
"6",97495.03
"7",97399.78
"8",97309.5
"9",97222.86
"10",97138.66
"11",97055.88
"12",96973.63
"13",96891.16
"14",96807.88
"15",96723.36
"16",96637.3
"17",96549.54
"18",96459.92
"19",96368.26
"20",96274.36
"21",96178
"22",96078.95
"23",95976.93
"24",95871.67
"25",95762.86
"26",95650.15
"27",95533.17
"28",95411.51
"29",95284.73
"30",95152.33
"31",95013.79
"32",94868.53
"33",94715.89
"34",94555.2
"35",94385.7
"36",94206.55
"37",94016.86
"38",93815.64
"39",93601.83
"40",93374.25
"41",93131.64
"42",92872.62
"43",92595.7
"44",92299.23
"45",91981.47
"46",91640.5
"47",91274.25
"48",90880.48
"49",90456.78
"50",90000.55
"51",89509
"52",88979.11
"53",88407.68
"54",87791.26
"55",87126.2
"56",86408.6
"57",85634.33
"58",84799.07
"59",83898.25
"60",82927.11
"61",81880.73
"62",80754.01
"63",79541.78
"64",78238.78
"65",76839.78
"66",75339.63
"67",73733.37
"68",72016.33
"69",70184.31
"70",68233.66
"71",66161.54
"72",63966.08
"73",61646.62
"74",59203.93
"75",56640.5
"76",53960.8
"77",51171.51
"78",48281.81
"79",45303.6
"80",42251.62
"81",39143.64
"82",36000.37
"83",32845.41
"84",29704.95
"85",26607.34
"86",23582.45
"87",20660.9
"88",17872.99
"89",15247.58
"90",12810.83
"91",10584.91
"92",8586.754
"93",6827.072
"94",5309.585
"95",4030.724
"96",2979.811
"97",2139.766
"98",1488.323
"99",999.6458
"100",646.1717
"101",400.4946
"102",237.0452
"103",133.3892
"104",71.01463
"105",35.57879
"106",16.67652
"107",7.266065
"108",2.922218
"109",1.07644
"110",0.3601234
"111",0.1084085
"112",0.02906711
"113",0.006864628
"114",0.001410556
"115",0.000248823
"116",3.71299e-05
"117",4.6119e-06
"118",4.68458e-07
"119",3.81652e-08
"120",2.44134e-09
"121",1.1979e-10
"122",4.39473e-12
"123",1.17214e-13
"124",2.20396e-15
"125",2.8246e-17
"126",2.37783e-19
"127",1.26259e-21
"128",4.04476e-24
"129",7.44562e-27
"130",7.4657e-30
"131",3.84546e-33
"132",9.54164e-37
"133",1.0629e-40
"134",4.92039e-45
"135",8.69665e-50
"136",5.3482e-55
"137",1.03355e-60
"138",5.61329e-67
"139",7.58031e-74
"140",2.22549e-81
